lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
30.4601,-81.761,83.186,79.848,93.235,86.628,83.266,78.179,89.39,56.528,8.998
30.4601,-81.741,86.833,84.427,94.436,88.144,87.054,81.696,89.715,63.48,8.998
30.4601,-81.721,90.254,88.727,95.563,89.548,90.609,85.0,90.018,70.019,8.998
30.4601,-81.701,92.838,91.976,96.415,90.606,93.296,87.497,90.246,74.963,8.999
30.4601,-81.681,94.44,93.99,96.943,91.262,94.961,89.044,90.388,78.028,8.999
30.4601,-81.661,95.286,95.053,97.222,91.608,95.84,89.862,90.463,79.648,8.999
30.4601,-81.641,95.66,95.525,97.345,91.757,96.23,90.225,90.496,80.365,8.999
30.4601,-81.621,95.755,95.646,97.377,91.784,96.33,90.321,90.504,80.55,8.999
30.4601,-81.601,95.671,95.543,97.349,91.727,96.244,90.247,90.495,80.393,8.998
30.4601,-81.581,95.454,95.277,97.278,91.602,96.022,90.051,90.474,79.988,8.998
30.4601,-81.561,95.131,94.88,97.171,91.414,95.691,89.76,90.442,79.381,8.996
30.4601,-81.541,94.72,94.376,97.036,91.165,95.271,89.393,90.402,78.609,8.994
30.4601,-81.521,94.236,93.785,96.877,90.857,94.778,88.969,90.355,77.701,8.991
30.4601,-81.501,93.696,93.128,96.7,90.495,94.229,88.504,90.302,76.685,8.986
30.4601,-81.481,93.112,92.423,96.509,90.081,93.638,88.013,90.245,75.588,8.98
30.4601,-81.461,92.499,91.687,96.309,89.622,93.02,87.512,90.186,74.432,8.972
30.4601,-81.441,91.869,90.936,96.105,89.123,92.389,87.012,90.126,73.24,8.961
30.4601,-81.421,91.234,90.183,95.899,88.593,91.754,86.524,90.067,72.033,8.949
30.4801,-87.42,94.963,95.028,98.937,80.062,88.305,73.17,83.649,49.369,13.988
30.4801,-87.4,94.969,95.036,98.939,80.068,88.316,73.149,83.65,49.374,13.989
30.4801,-87.38,94.973,95.04,98.94,80.071,88.322,73.14,83.651,49.376,13.99
30.4801,-87.36,94.973,95.04,98.939,80.072,88.321,73.144,83.652,49.374,13.989
30.4801,-87.34,94.968,95.033,98.938,80.071,88.313,73.166,83.653,49.366,13.988
30.4801,-87.32,94.957,95.017,98.934,80.065,88.295,73.215,83.655,49.351,13.986
30.4801,-87.3,94.936,94.989,98.928,80.054,88.26,73.305,83.657,49.323,13.981
30.4801,-87.2801,94.9,94.939,98.916,80.036,88.201,73.461,83.662,49.273,13.972
30.4801,-87.2601,94.84,94.854,98.897,80.006,88.1,73.727,83.67,49.188,13.958
30.4801,-87.2401,94.741,94.715,98.865,79.957,87.934,74.164,83.685,49.047,13.934
30.4801,-87.2201,94.585,94.495,98.814,79.883,87.673,74.86,83.71,48.819,13.897
30.4801,-87.2001,94.35,94.163,98.738,79.774,87.281,75.915,83.75,48.47,13.841
30.4801,-87.1801,94.021,93.696,98.631,79.626,86.729,77.405,83.809,47.972,13.761
30.4801,-87.1601,93.599,93.095,98.493,79.442,86.022,79.327,83.891,47.322,13.66
30.4801,-87.1401,93.113,92.402,98.334,79.235,85.209,81.552,83.989,46.563,13.543
30.4801,-87.1201,92.617,91.693,98.172,79.031,84.379,83.838,84.095,45.776,13.423
30.4801,-87.1001,92.166,91.047,98.024,78.85,83.624,85.928,84.195,45.052,13.314
30.4801,-87.0801,91.796,90.515,97.902,78.704,83.003,87.656,84.28,44.452,13.224
30.4801,-87.0601,91.515,90.11,97.809,78.594,82.531,88.978,84.345,43.999,13.156
30.4801,-87.0401,91.313,89.819,97.742,78.512,82.191,89.936,84.39,43.683,13.105
30.4801,-87.0201,91.173,89.617,97.696,78.447,81.954,90.605,84.416,43.487,13.068
30.4801,-87.0001,91.078,89.482,97.666,78.391,81.791,91.063,84.425,43.391,13.041
30.4801,-86.9801,91.016,89.395,97.646,78.333,81.679,91.372,84.416,43.385,13.019
30.4801,-86.9601,90.977,89.342,97.634,78.264,81.602,91.578,84.387,43.47,13.0
30.4801,-86.9401,90.954,89.315,97.629,78.175,81.549,91.714,84.336,43.656,12.979
30.4801,-86.9201,90.946,89.311,97.629,78.054,81.511,91.803,84.256,43.971,12.954
30.4801,-86.9001,90.95,89.329,97.634,77.886,81.483,91.861,84.137,44.455,12.923
30.4801,-86.8801,90.968,89.37,97.646,77.652,81.463,91.903,83.965,45.171,12.879
30.4801,-86.8601,91.004,89.439,97.665,77.329,81.451,91.943,83.724,46.198,12.818
30.4801,-86.8401,91.062,89.544,97.693,76.891,81.448,91.994,83.395,47.63,12.734
30.4801,-86.8201,91.149,89.692,97.733,76.317,81.458,92.071,82.963,49.557,12.621
30.4801,-86.8001,91.27,89.889,97.786,75.6,81.486,92.188,82.42,52.031,12.475
30.4801,-86.7801,91.429,90.134,97.852,74.756,81.539,92.355,81.781,55.023,12.299
30.4801,-86.7601,91.62,90.419,97.929,73.834,81.62,92.571,81.08,58.386,12.101
30.4801,-86.7401,91.833,90.724,98.01,72.909,81.729,92.826,80.374,61.869,11.896
30.4801,-86.7201,92.052,91.024,98.09,72.06,81.858,93.098,79.723,65.183,11.701
30.4801,-86.7001,92.258,91.298,98.164,71.344,81.997,93.363,79.173,68.092,11.531
30.4801,-86.6802,92.44,91.532,98.226,70.787,82.134,93.603,78.741,70.471,11.392
